ticker,mse,mae,directional_accuracy,pred_std,true_std
AAPL,1.316889,0.8331355,0.528344671201814,0.21130201,1.1301394
ABBV,0.7809789,0.6285604,0.4965986394557823,0.15243357,0.84443885
ADBE,2.2593338,1.0904746,0.48299319727891155,0.22190326,1.4886284
AMZN,1.9964744,1.0360667,0.5532879818594104,0.24729756,1.413039
AVGO,1.1454164,0.79617906,0.5328798185941043,0.20606098,1.0599577
COST,2.330981,1.0313122,0.5215419501133787,0.14208947,1.5200194
DIA,1.8255633,1.0027342,0.5056689342403629,0.27591252,1.2802639
GOOGL,2.301623,1.1215852,0.5396825396825397,0.24231918,1.5146172
HD,2.1335166,1.079473,0.47845804988662133,0.25751057,1.4214028
IWM,2.3194087,1.1838188,0.4965986394557823,0.20544317,1.4974993
JNJ,1.2174383,0.81603104,0.5056689342403629,0.15384732,1.1045343
JPM,1.3106863,0.8488783,0.4852607709750567,0.14714621,1.1443683
LLY,1.861065,0.9765847,0.49206349206349204,0.1492009,1.370079
MA,1.3790908,0.8504614,0.4988662131519274,0.24066241,1.1303447
META,2.1384673,0.94734913,0.5374149659863946,0.1737655,1.4726328
MRK,1.1113963,0.8130186,0.49206349206349204,0.13151371,1.0510678
MSFT,1.8492628,1.0235354,0.4943310657596372,0.23520435,1.3369118
NVDA,2.42041,1.1473458,0.5124716553287982,0.36101785,1.4629405
PEP,1.6308681,0.9244643,0.47619047619047616,0.17769298,1.2661664
PG,1.5240583,0.90032995,0.5170068027210885,0.106407225,1.2281369
QQQ,2.557536,1.1901548,0.5374149659863946,0.35058853,1.5838032
SPY,2.270195,1.1169759,0.546485260770975,0.2777219,1.5037041
TSLA,1.4585152,0.9228539,0.5011337868480725,0.17645997,1.202111
V,1.2559919,0.8096386,0.528344671201814,0.24403886,1.0998195
XLE,2.277208,1.134989,0.5238095238095238,0.16228457,1.5037862
XLK,2.7022822,1.2329755,0.564625850340136,0.30789164,1.6347795
XLY,3.7801769,1.4439619,0.5328798185941043,0.32791042,1.9240488
