ticker,mse,mae,directional_accuracy,pred_std,true_std
AAPL,1.323677,0.84273493,0.5578231292517006,0.24537835,1.1301394
ABBV,0.7320537,0.61106706,0.4852607709750567,0.15917031,0.84443885
ADBE,2.2246287,1.0756286,0.5419501133786848,0.24337307,1.4886284
AMZN,2.018609,1.0435733,0.528344671201814,0.23591301,1.413039
AVGO,1.1589503,0.79538643,0.5328798185941043,0.1955166,1.0599577
COST,2.3345788,1.03425,0.5215419501133787,0.1604887,1.5200194
DIA,1.6537691,0.9631475,0.48072562358276644,0.23933238,1.2802639
GOOGL,2.3044207,1.1221212,0.5374149659863946,0.28360555,1.5146172
HD,2.0527604,1.062466,0.4603174603174603,0.17458321,1.4214028
IWM,2.2594588,1.179328,0.5102040816326531,0.19323486,1.4974993
JNJ,1.2254813,0.8204294,0.5396825396825397,0.14100102,1.1045343
JPM,1.308922,0.8482572,0.47165532879818595,0.12262869,1.1443683
LLY,1.8676957,0.98645234,0.5238095238095238,0.12017034,1.370079
MA,1.3229992,0.83768773,0.5056689342403629,0.27091235,1.1303447
META,2.1995595,0.9685582,0.47845804988662133,0.21033286,1.4726328
MRK,1.1042402,0.8091372,0.5011337868480725,0.089592226,1.0510678
MSFT,1.8165326,1.0169797,0.5374149659863946,0.3134639,1.3369118
NVDA,2.162551,1.0970042,0.4875283446712018,0.25129738,1.4629405
PEP,1.6333414,0.9392709,0.5215419501133787,0.14097373,1.2661664
PG,1.527173,0.9022424,0.5374149659863946,0.104340285,1.2281369
QQQ,2.5567505,1.2055595,0.5260770975056689,0.33971536,1.5838032
SPY,2.2848938,1.1348864,0.5238095238095238,0.27058253,1.5037041
TSLA,1.494096,0.928618,0.5056689342403629,0.13453051,1.202111
V,1.2281731,0.80928916,0.5170068027210885,0.25222367,1.0998195
XLE,2.2691493,1.1287552,0.5374149659863946,0.15392047,1.5037862
XLK,2.7218325,1.2430283,0.5668934240362812,0.34713832,1.6347795
XLY,3.7505214,1.449293,0.47392290249433106,0.2520741,1.9240488
