ticker,mse,mae,directional_accuracy,pred_std,true_std,rank_correlation
AAPL,0.00030897083,0.011683179,0.528046421663443,0.002976495,0.017317772,0.05468571574459748
ABBV,0.0002497419,0.010772798,0.5319148936170213,0.0028475076,0.015719298,0.021886722015509716
ADBE,0.0004685237,0.013720388,0.5435203094777563,0.0028292914,0.021477574,0.07343766200767685
AMZN,0.00038679148,0.014124673,0.5067698259187621,0.0024582548,0.019547395,0.02371735944224811
AVGO,0.001070074,0.022324216,0.4932301740812379,0.0047134887,0.032311138,0.0368863854761925
COST,0.00016797615,0.009412527,0.5299806576402321,0.0024324215,0.013003478,0.0770432744702908
DIA,8.256114e-05,0.006331475,0.4951644100580271,0.002269395,0.008884395,0.028257612374386246
GOOGL,0.0003832022,0.014072949,0.539651837524178,0.004307388,0.018847631,-0.007732428316297686
HD,0.0001917526,0.010412432,0.5261121856866537,0.0023560238,0.013842045,0.07287703403487669
IWM,0.00020907361,0.010768626,0.5357833655705996,0.002730317,0.014019651,-0.01878121076537702
JNJ,0.00013067886,0.008174744,0.5609284332688588,0.0024989466,0.010881045,0.038472574438919924
JPM,0.00022122718,0.010094065,0.5415860735009671,0.0027378974,0.014816159,0.03907245248165584
LLY,0.0005269848,0.01614275,0.4506769825918762,0.002569712,0.022328056,0.023426277508415062
MA,0.00014689969,0.008459026,0.5299806576402321,0.0018559158,0.012077611,0.0396204889030223
META,0.00054003746,0.015494672,0.5299806576402321,0.0040429872,0.022922216,0.02112940485033508
MRK,0.0002721741,0.011127465,0.5164410058027079,0.002844664,0.01625525,0.05109851299856248
MSFT,0.00019690288,0.009872977,0.5415860735009671,0.0034035526,0.013864421,0.045038026594703205
NVDA,0.0010150536,0.023237754,0.5203094777562862,0.0039663943,0.03169409,0.06852027040052769
PEP,0.00015765929,0.009189156,0.5183752417794971,0.0026169664,0.012284641,0.009785198553135218
PG,0.0001167546,0.007927549,0.4932301740812379,0.0019506804,0.010731828,0.03708125139443294
QQQ,0.00017380225,0.009003563,0.5261121856866537,0.0026452641,0.012989727,0.008539850697198545
SPY,0.00010877432,0.006777866,0.5435203094777563,0.0023900382,0.010167936,-0.0026466139113938154
TSLA,0.0015264966,0.028537923,0.49709864603481624,0.0023476896,0.039132763,0.04230092626925877
V,0.00014816706,0.008370351,0.5512572533849129,0.0019266771,0.012131354,0.07883935073445217
XLE,0.00018514079,0.009914489,0.4932301740812379,0.0028211845,0.013499756,0.10395237961879301
XLK,0.00024289293,0.010690152,0.5338491295938105,0.0031914692,0.015444937,0.0508009181932982
XLY,0.00018186978,0.0098824,0.5106382978723404,0.0026517739,0.013452488,0.04060167469370834
