ticker,mse,mae,directional_accuracy,pred_std,true_std
TGT,2.899974,1.0648165,0.4875283446712018,0.042088456,1.7055314
TJX,1.5041591,0.8875746,0.4988662131519274,0.029735584,1.226405
TPR,1.5390459,0.90553826,0.5079365079365079,0.120205745,1.2345812
TSCO,1.2522898,0.81983405,0.46485260770975056,0.049615834,1.1207896
TXN,1.3589392,0.9114428,0.5034013605442177,0.114804484,1.1608441
ULTA,0.8466863,0.6278277,0.5260770975056689,0.05179137,0.92411894
V,1.2142549,0.80387443,0.5034013605442177,0.07077251,1.0998195
WDAY,1.3881147,0.84806544,0.4875283446712018,0.06524832,1.1723958
WELL,1.865537,1.0463955,0.4943310657596372,0.085541904,1.3524911
WFC,2.2433581,1.1201755,0.5147392290249433,0.08844029,1.4972594
WMT,1.6245619,0.82055634,0.5147392290249433,0.0802585,1.27433
XLE,2.2603695,1.1395824,0.5374149659863946,0.07411288,1.5037862
XLK,2.6834667,1.2466207,0.4557823129251701,0.052315615,1.6347795
XLY,3.6993306,1.4332882,0.5170068027210885,0.060808506,1.9240488
