ticker,mse,mae,directional_accuracy,pred_std,true_std,rank_correlation
AAPL,0.00037639413,0.013890445,0.4564796905222437,0.0036969509,0.017301152,0.009328863361520461
ACN,0.00035823055,0.013665649,0.5067698259187621,0.0026357903,0.016653188,0.06847884853822508
ADBE,0.0004858243,0.014120248,0.4835589941972921,0.0028203158,0.021426825,-0.005078042435786126
ADI,0.00060119526,0.017771102,0.46808510638297873,0.0030924901,0.022166003,0.01728911229582175
ADP,0.00012566369,0.007963886,0.5125725338491296,0.0026557164,0.01108867,0.06132220280686964
ADSK,0.00042553534,0.015770674,0.46808510638297873,0.0029309746,0.017576985,0.08276478860348231
AMAT,0.0007824907,0.019851444,0.4874274661508704,0.002660273,0.027630921,-0.004253078721163828
AMD,0.0011373867,0.023861969,0.5106382978723404,0.0031002236,0.03324681,-0.018579181896926384
AMZN,0.0004086462,0.014588324,0.4816247582205029,0.0023725298,0.019539108,-0.04634403001547979
APH,0.00045155417,0.014605217,0.5551257253384912,0.007139745,0.019622663,0.015524340858333931
APP,0.0020509867,0.03159812,0.4912959381044487,0.002384494,0.044680405,-0.006804214618501934
ARM,0.0020026846,0.032230765,0.528046421663443,0.0031607293,0.042670384,0.004755438617180088
AVGO,0.0010778133,0.022304086,0.5106382978723404,0.0031235556,0.032245945,-0.039606595637144575
AXP,0.0003515352,0.01311198,0.44294003868471954,0.0034502328,0.01744146,-0.03765412276050574
AZO,0.00028163986,0.013037267,0.5357833655705996,0.0036329166,0.013329729,-0.08933584168616329
BA,0.0005206422,0.015853703,0.4990328820116054,0.0021935739,0.022596432,-0.013875455488518328
BABA,0.0007628153,0.020159476,0.4990328820116054,0.0024022819,0.027354868,-0.008526390762907338
BAC,0.00028428997,0.011647529,0.48936170212765956,0.0036413856,0.015988206,-0.05703532772102264
BLK,0.00023928113,0.01088734,0.5106382978723404,0.0034002194,0.014808406,0.05326617028744688
BN,0.00039960784,0.014726883,0.4584139264990329,0.0032056118,0.018986287,0.019607003700310877
BX,0.0005006815,0.016528547,0.49709864603481624,0.0035635245,0.021422258,-0.02481117448955153
C,0.00036690597,0.013828021,0.437137330754352,0.0025281946,0.018283185,-0.0017862203126191758
CB,0.00015456196,0.008981311,0.4990328820116054,0.0032676626,0.011741617,0.01996941902929038
CDNS,0.0006797477,0.019258467,0.4758220502901354,0.004048306,0.022900468,-0.029237929782214785
CME,0.00015126621,0.009318214,0.5531914893617021,0.003105671,0.011225087,-0.06021331998570989
COF,0.0005293341,0.016475363,0.5493230174081238,0.003053301,0.020859424,0.010546857157445974
COST,0.00018945064,0.009974675,0.504835589941973,0.0033941728,0.013029479,0.014875658863783555
CPNG,0.00053050515,0.015818382,0.5203094777562862,0.002146592,0.022299763,-0.08278903805298372
