date,open,high,low,close,volume
2012-01-03,34.5795,34.7049,34.3047,34.3047,11321601.163051
2012-01-04,34.2459,34.6511,34.2459,34.5705,3576822.3583072
2012-01-05,34.3833,34.8622,34.2011,34.8622,5249267.2474114
2012-01-06,34.8812,35.0464,34.697,34.918,2301513.574898
2012-01-09,35.0126,35.0126,34.7248,34.8622,2068878.9114543
2012-01-10,35.1589,35.1749,34.9678,35.0912,2971076.0977881
2012-01-11,35.0305,35.2097,35.0126,35.141,2994355.3333865
2012-01-12,35.2286,35.2993,34.9398,35.2455,2401947.6520083
2012-01-13,35.0623,35.1997,34.8453,35.1997,3926562.3139649
2012-01-17,35.4059,35.5243,35.2455,35.2993,1825372.5024821
2012-01-18,35.3699,35.9006,35.2286,35.8648,3407098.9828517
2012-01-19,35.9086,36.2431,35.8748,36.1775,4532745.4933038
2012-01-20,36.1465,36.1685,35.7772,35.8847,6921316.3985501
2012-01-23,35.8926,36.1127,35.6139,35.8568,2298754.4576616
2012-01-24,35.7254,35.9783,35.6139,35.9604,2241213.7557176
2012-01-25,35.9355,36.3019,35.7862,36.2243,2793899.9921199
2012-01-26,36.3965,36.5279,36.0221,36.1625,4289794.5236586
2012-01-27,35.9504,36.2053,35.9176,36.1386,2660268.1199976
2012-01-30,35.823,36.0948,35.598,36.0291,3651974.4041258
2012-01-31,36.2551,36.2799,35.8778,36.0161,2635259.2885197
2012-02-01,36.0948,36.274,36.0121,36.1465,6454719.2402152
2012-02-02,36.1287,36.1775,35.9265,36.1047,2900184.7637704
2012-02-03,36.3656,36.8395,36.3656,36.8395,6379625.4502392
2012-02-06,36.6046,36.8246,36.5956,36.7668,1813205.0666604
2012-02-07,36.7668,36.9908,36.6474,36.9371,7334888.6871562
2012-02-08,37.0267,37.1969,36.8086,37.0267,2934228.2729118
2012-02-09,37.0087,37.1193,36.7578,37.0874,4736615.8322419
2012-02-10,36.714,36.9281,36.6662,36.8873,3651598.754382
2012-02-13,37.1361,37.2307,37.0456,37.18,5551291.6503085
2012-02-14,36.9908,37.1601,36.8594,37.1361,2589566.619674
2012-02-15,37.3045,37.3761,36.8873,36.9739,2690694.7448404
2012-02-16,36.9112,37.18,36.8873,37.1293,3541091.4385516
2012-02-17,37.2218,37.5136,37.2218,37.4697,2595335.9569167
2012-02-21,37.5672,37.6708,37.2407,37.3244,2927928.6066188
2012-02-22,37.3244,37.3831,37.0963,37.2218,3624974.8298876
2012-02-23,37.2218,37.4249,37.0874,37.408,2566256.2473321
2012-02-24,37.408,37.5215,37.3144,37.3662,3177420.301216
2012-02-27,37.2307,37.636,37.1293,37.5852,3075095.9224535
2012-02-28,37.5852,37.8092,37.4966,37.7903,7026768.5134154
2012-02-29,37.8311,37.9367,37.6559,37.6658,5970754.809898
2012-03-01,37.7584,38.0193,37.7395,37.9655,5429612.2700367
2012-03-02,37.8789,38.087,37.8122,37.9427,4245286.055476
2012-03-05,37.8361,37.9815,37.7226,37.9038,2576071.3524047
2012-03-06,37.5334,37.5782,37.1979,37.3154,4091480.5868144
2012-03-07,37.4538,37.7933,37.4349,37.7415,2359037.2018537
2012-03-08,37.855,38.2045,37.7853,38.1298,5021888.6671488
2012-03-09,38.2732,38.4166,38.1885,38.3458,3665918.6431478
2012-03-12,38.3419,38.4534,38.1617,38.2373,4661903.7184763
2012-03-13,38.4414,38.8257,38.321,38.8257,7801381.3867389
2012-03-14,38.8437,38.8695,38.6555,38.7739,8004835.89949
2012-03-15,38.8556,38.9383,38.6226,38.9103,6045654.7485356
2012-03-16,38.9701,38.9701,38.7033,38.7819,5596730.2031511
2012-03-19,38.7292,39.0368,38.6376,38.9851,7076714.8631845
2012-03-20,38.8078,39.1224,38.6883,39.0547,4095513.2973
2012-03-21,39.1224,39.221,39.0457,39.0945,2143721.5986603
2012-03-22,38.9073,39.0945,38.8337,38.9989,3019800.079273
2012-03-23,38.9453,39.0876,38.555,39.0547,2485110.8806
2012-03-26,39.3684,39.6919,39.3146,39.6641,6543095.3623114
2012-03-27,39.7805,39.8403,39.5814,39.6043,5146646.5673803
2012-03-28,39.6292,39.6292,39.0876,39.2658,7657064.5895488
2012-03-29,38.9989,39.2897,38.8167,39.2568,4469742.8039073
2012-03-30,39.4162,39.5366,39.1941,39.4241,4784109.410154
2012-04-02,39.3684,39.6641,39.2658,39.5386,12413690.299324
2012-04-03,39.4858,39.7009,39.3066,39.458,6079343.7005658
2012-04-04,39.221,39.2488,38.8437,39.0876,8555849.7914443
2012-04-05,38.9631,39.4211,38.9631,39.3774,4042809.8391167
2012-04-09,38.7471,39.0876,38.7202,38.9989,6495637.9431983
2012-04-10,38.8615,38.991,37.9675,38.0501,19746747.945082
2012-04-11,38.4235,38.6794,38.3896,38.5738,5170063.4072966
2012-04-12,38.6615,39.0945,38.4942,39.0717,7820427.0296356
2012-04-13,38.9851,39.1662,38.7739,38.9631,7403014.8774711
2012-04-16,39.0547,39.1493,38.6465,38.8167,11345355.48509
2012-04-17,39.0089,39.3414,38.8985,39.2897,5372476.3457578
2012-04-18,39.1403,39.458,39.0876,39.2897,4933445.2495101
2012-04-19,39.2897,39.4858,38.8009,38.9781,6381334.9578972
2012-04-20,39.1304,39.3335,39.0179,39.0368,5258401.3617719
