ticker,mse,mae,directional_accuracy,pred_std,true_std
AAPL,1.3148376,0.83756715,0.4965986394557823,0.078452215,1.1301394
ABBV,0.7245607,0.60507584,0.4988662131519274,0.041734483,0.84443885
ADBE,2.2702177,1.0939015,0.48072562358276644,0.075009406,1.4886284
AMZN,2.0152576,1.0443814,0.4988662131519274,0.074020274,1.413039
AVGO,1.1309928,0.7884244,0.5260770975056689,0.083101004,1.0599577
COST,2.295387,1.0301828,0.49206349206349204,0.049483944,1.5200194
DIA,1.6864986,0.9612331,0.5011337868480725,0.08711002,1.2802639
GOOGL,2.2990675,1.1289065,0.48072562358276644,0.08346589,1.5146172
HD,2.0453641,1.0553064,0.4988662131519274,0.066669166,1.4214028
IWM,2.235884,1.1666672,0.5034013605442177,0.070253596,1.4974993
JNJ,1.2153028,0.8077204,0.5034013605442177,0.04122182,1.1045343
JPM,1.3103125,0.8430267,0.562358276643991,0.050637096,1.1443683
LLY,1.8890812,0.9846136,0.5215419501133787,0.049425744,1.370079
MA,1.337235,0.8420312,0.47845804988662133,0.070334345,1.1303447
META,2.1986182,0.9672527,0.5034013605442177,0.065202035,1.4726328
MRK,1.1192058,0.81216687,0.48072562358276644,0.046121906,1.0510678
MSFT,1.8037815,1.0133597,0.49206349206349204,0.08696416,1.3369118
NVDA,2.1559258,1.0903186,0.5260770975056689,0.107184514,1.4629405
PEP,1.5990586,0.9186449,0.4875283446712018,0.042807654,1.2661664
PG,1.5155762,0.90213627,0.5170068027210885,0.042860687,1.2281369
QQQ,2.5184174,1.1999463,0.4988662131519274,0.111536555,1.5838032
SPY,2.2733495,1.1205342,0.4965986394557823,0.089777514,1.5037041
TSLA,1.449946,0.8957275,0.5034013605442177,0.044552773,1.202111
V,1.2427669,0.80637115,0.5102040816326531,0.075438015,1.0998195
XLE,2.2750125,1.1342065,0.5396825396825397,0.082561255,1.5037862
XLK,2.711585,1.2482014,0.5102040816326531,0.115697555,1.6347795
XLY,3.7129488,1.4328959,0.5306122448979592,0.08065406,1.9240488
