ticker,mse,mae,directional_accuracy,pred_std,true_std
AAPL,1.2947795,0.8371874,0.5147392290249433,0.08069457,1.1301394
ABBV,0.7334329,0.60983,0.4988662131519274,0.037398424,0.84443885
ADBE,2.4515204,1.1532216,0.48072562358276644,0.07442763,1.4886284
AMZN,2.0002205,1.0414497,0.5215419501133787,0.036432534,1.413039
AVGO,1.158593,0.79615754,0.5260770975056689,0.06719379,1.0599577
COST,2.3070133,1.0259386,0.5578231292517006,0.050607443,1.5200194
DIA,1.6692766,0.9653226,0.5011337868480725,0.041464664,1.2802639
GOOGL,2.297954,1.1274201,0.4897959183673469,0.049405027,1.5146172
HD,2.122527,1.0710236,0.4943310657596372,0.098422006,1.4214028
IWM,2.2987642,1.1833292,0.49206349206349204,0.04823773,1.4974993
JNJ,1.2468314,0.8191644,0.48299319727891155,0.05505361,1.1045343
JPM,1.3191279,0.84466505,0.5011337868480725,0.054329667,1.1443683
LLY,1.8739077,0.985071,0.5260770975056689,0.063427225,1.370079
MA,1.3585324,0.851134,0.5215419501133787,0.078464046,1.1303447
META,2.17289,0.95658535,0.528344671201814,0.06460726,1.4726328
MRK,1.1161386,0.8129033,0.48299319727891155,0.0395572,1.0510678
MSFT,1.8042612,1.0102266,0.5056689342403629,0.05642554,1.3369118
NVDA,2.1446102,1.0906347,0.5306122448979592,0.055743057,1.4629405
PEP,1.6457514,0.94565934,0.5011337868480725,0.040474236,1.2661664
PG,1.8198225,1.0101829,0.4852607709750567,0.07683071,1.2281369
QQQ,2.5080535,1.1961801,0.5102040816326531,0.05643233,1.5838032
SPY,2.2934399,1.1276573,0.46485260770975056,0.10198982,1.5037041
TSLA,1.505742,0.90869343,0.4988662131519274,0.046433534,1.202111
V,1.2210376,0.8035948,0.5011337868480725,0.05713115,1.0998195
XLE,2.3119204,1.1665694,0.46938775510204084,0.08531971,1.5037862
XLK,2.6913683,1.2481176,0.5079365079365079,0.05858861,1.6347795
XLY,3.739317,1.4377812,0.5124716553287982,0.053991634,1.9240488
