ticker,mse,mae,directional_accuracy,pred_std,true_std
AAPL,1.2872424,0.8309329,0.5102040816326531,0.083250314,1.1301394
ABBV,0.71209145,0.6006272,0.5215419501133787,0.07274853,0.84443885
ADBE,2.2243433,1.0803998,0.48299319727891155,0.11192544,1.4886284
AMZN,2.100376,1.0713189,0.47845804988662133,0.13746287,1.413039
AVGO,1.1213388,0.78956664,0.5056689342403629,0.07773388,1.0599577
COST,2.3117507,1.0290889,0.5056689342403629,0.08876844,1.5200194
DIA,1.6294922,0.9452193,0.5034013605442177,0.10424535,1.2802639
GOOGL,2.2768662,1.120855,0.528344671201814,0.08277817,1.5146172
HD,2.0087526,1.0468152,0.5487528344671202,0.07122374,1.4214028
IWM,2.2345545,1.1691217,0.5124716553287982,0.10538447,1.4974993
JNJ,1.2182168,0.8108027,0.5079365079365079,0.084964596,1.1045343
JPM,1.2988676,0.8429842,0.4943310657596372,0.0590955,1.1443683
LLY,1.8706335,0.9815333,0.5328798185941043,0.109241895,1.370079
MA,1.323108,0.83412457,0.48072562358276644,0.11543916,1.1303447
META,2.161194,0.9546596,0.4852607709750567,0.089401685,1.4726328
MRK,1.1066376,0.80793697,0.5306122448979592,0.07749805,1.0510678
MSFT,1.7859291,1.0035305,0.5192743764172335,0.10191889,1.3369118
NVDA,2.1531377,1.0888004,0.5260770975056689,0.097274564,1.4629405
PEP,1.6068277,0.92019093,0.5102040816326531,0.0638896,1.2661664
PG,1.5297107,0.9041236,0.5011337868480725,0.0725841,1.2281369
QQQ,2.5338254,1.2031937,0.5056689342403629,0.15960103,1.5838032
SPY,2.2559078,1.1186206,0.5056689342403629,0.13296096,1.5037041
TSLA,1.4400152,0.8946027,0.5170068027210885,0.07510832,1.202111
V,1.2305251,0.8057036,0.5124716553287982,0.11959726,1.0998195
XLE,2.2578936,1.1322237,0.5260770975056689,0.09226785,1.5037862
XLK,2.706479,1.2456982,0.5215419501133787,0.15773539,1.6347795
XLY,3.7240288,1.4308549,0.5215419501133787,0.10063234,1.9240488
