ticker,mse,mae,directional_accuracy,pred_std,true_std
AAPL,1.2902246,0.83447653,0.5215419501133787,0.17670111,1.1301394
ABBV,0.71458125,0.6052204,0.5351473922902494,0.11806343,0.84443885
ADBE,2.3025062,1.1040266,0.4875283446712018,0.1703045,1.4886284
AMZN,1.9749491,1.0370202,0.5351473922902494,0.15138866,1.413039
AVGO,1.1230665,0.7823303,0.5510204081632653,0.0830969,1.0599577
COST,2.267536,1.0204576,0.5170068027210885,0.13215779,1.5200194
DIA,1.6950418,0.9639454,0.5124716553287982,0.15414363,1.2802639
GOOGL,2.2922683,1.1274154,0.5170068027210885,0.14244016,1.5146172
HD,2.0131128,1.052513,0.5260770975056689,0.121902965,1.4214028
IWM,2.2372108,1.1724818,0.5034013605442177,0.15932484,1.4974993
JNJ,1.2068526,0.80999464,0.5170068027210885,0.10334875,1.1045343
JPM,1.3320374,0.84649837,0.4988662131519274,0.09299602,1.1443683
LLY,1.8803777,0.98379135,0.5306122448979592,0.1234477,1.370079
MA,1.2957039,0.82464457,0.5079365079365079,0.15850203,1.1303447
META,2.1590657,0.95613545,0.49206349206349204,0.11470351,1.4726328
MRK,1.1261268,0.81616175,0.5011337868480725,0.106936835,1.0510678
MSFT,1.8554487,1.0286734,0.49206349206349204,0.19689175,1.3369118
NVDA,2.2468739,1.127436,0.5011337868480725,0.17955469,1.4629405
PEP,1.620506,0.92879075,0.5079365079365079,0.123935334,1.2661664
PG,1.5522377,0.9194388,0.4988662131519274,0.11533868,1.2281369
QQQ,2.5567725,1.200986,0.5102040816326531,0.21670607,1.5838032
SPY,2.2405715,1.1107491,0.5351473922902494,0.14733475,1.5037041
TSLA,1.4610463,0.91000444,0.5034013605442177,0.08996225,1.202111
V,1.2079238,0.79744923,0.5124716553287982,0.120233685,1.0998195
XLE,2.2805693,1.145308,0.5124716553287982,0.12585594,1.5037862
XLK,2.7062833,1.2433283,0.5147392290249433,0.19062226,1.6347795
XLY,3.7089157,1.4350139,0.5328798185941043,0.15756673,1.9240488
