ticker,mse,mae,directional_accuracy,pred_std,true_std,rank_correlation
AAPL,0.0003076334,0.011859907,0.46034816247582205,0.0019362355,0.017301152,0.0018899484510568132
ACN,0.00027962157,0.011700516,0.5125725338491296,0.0020015296,0.016653188,0.005653606593735243
ADBE,0.0004578514,0.013564641,0.48549323017408125,0.0016506077,0.021426825,0.044257045494056874
ADI,0.0004919059,0.015470504,0.5125725338491296,0.0017257689,0.022166003,0.11743349793819859
ADP,0.00012610349,0.008071153,0.4874274661508704,0.0016791295,0.01108867,0.0547718593240612
ADSK,0.0003107381,0.012560794,0.48549323017408125,0.0015356649,0.017576985,0.03334859371474908
AMAT,0.00076968275,0.019748563,0.4835589941972921,0.0019248107,0.027630921,0.0189950504564101
AMD,0.0011146961,0.023490423,0.5029013539651838,0.0021241973,0.03324681,0.02874690331952598
AMZN,0.00038594555,0.014070927,0.4912959381044487,0.0014329646,0.019539108,0.03803473496694674
APH,0.0004221451,0.014308639,0.4564796905222437,0.0030493822,0.019622663,0.004536084792898609
APP,0.002062867,0.032038912,0.4700193423597679,0.0028159944,0.044680405,-0.015918544984418807
ARM,0.0018209904,0.03062824,0.4796905222437137,0.0028092004,0.042670384,0.08952012030229833
AVGO,0.0010636816,0.022349788,0.5183752417794971,0.0025521638,0.032245945,0.050401201563992255
AXP,0.00031808834,0.012416145,0.47195357833655704,0.0016143642,0.01744146,0.09682529647893327
AZO,0.0001834043,0.010357995,0.4874274661508704,0.0016757138,0.013329729,0.05394767715401065
BA,0.0005115222,0.01585348,0.47775628626692457,0.001657317,0.022596432,-0.003200511859591523
BABA,0.0007521332,0.019731263,0.504835589941973,0.001564465,0.027354868,-0.007647760987691714
BAC,0.0002612298,0.011015337,0.5164410058027079,0.0013364559,0.015988206,0.14044588746592285
BLK,0.00022972515,0.010792774,0.4526112185686654,0.0016383765,0.014808406,0.006029269279674222
BN,0.00036976254,0.01393933,0.4622823984526112,0.0016877218,0.018986287,0.11073729150720336
BX,0.00046478727,0.0158802,0.47775628626692457,0.0019318166,0.021422258,0.0443393681889476
C,0.0003460696,0.013272586,0.4738878143133462,0.001949917,0.018283185,0.06047188754562383
CB,0.00014320455,0.008765287,0.4622823984526112,0.0014551304,0.011741617,0.05230026803505279
CDNS,0.00052551023,0.015996572,0.4796905222437137,0.0016020301,0.022900468,0.039330927493047466
CME,0.00012987557,0.008813654,0.4758220502901354,0.0014187318,0.011225087,0.008739318239565641
COF,0.00044559018,0.014677624,0.4835589941972921,0.0017881752,0.020859424,0.05527717130883879
COST,0.0001766311,0.009734227,0.4661508704061896,0.0017559939,0.013029479,0.047967645444142226
CPNG,0.0004984725,0.014901271,0.5183752417794971,0.0013700171,0.022299763,0.06514201754047211
CPRT,0.0002213177,0.010385565,0.5106382978723404,0.0017632014,0.014889758,0.08167688565229092
CRM,0.00046570928,0.014571896,0.5357833655705996,0.0018334269,0.021499325,0.07740248271966924
CRWD,0.00084246503,0.02065272,0.5009671179883946,0.0022230705,0.028967889,0.07910828890541903
CSCO,0.00019697497,0.009293318,0.5164410058027079,0.0017049792,0.013865968,0.033162524466443806
CVNA,0.0021069793,0.032189906,0.47195357833655704,0.0018853322,0.045562107,0.1079833308685735
CVS,0.00046561638,0.01416103,0.5145067698259188,0.0016901573,0.021582326,0.03528270020008193
DELL,0.0011149261,0.023443483,0.4874274661508704,0.0018294121,0.0331711,0.03051332368502086
DG,0.0005440101,0.015686492,0.5203094777562862,0.0014383513,0.023281556,0.004132894533686221
EBAY,0.00040300324,0.012987863,0.4951644100580271,0.0017377953,0.019928653,0.08098095653761166
FTNT,0.00056777726,0.015356702,0.48936170212765956,0.0018378175,0.023763085,0.06087954331398171
GD,0.00015535436,0.00858273,0.48936170212765956,0.0017115625,0.012147284,0.043289406475947784
GE,0.00037121325,0.013618401,0.46421663442940037,0.0018371862,0.0188138,0.05425713716427299
GOOG,0.00036466203,0.013890141,0.4622823984526112,0.0021365918,0.018619241,0.0019768301988655405
GS,0.00033451858,0.012656365,0.4584139264990329,0.0018872352,0.017828394,0.08933745013392745
HD,0.00019533111,0.010555974,0.5203094777562862,0.0016313455,0.013857507,0.012670574273741022
HON,0.00018145154,0.009241657,0.5125725338491296,0.0015186947,0.013480534,0.0706908801911276
HOOD,0.0018457087,0.03157175,0.5106382978723404,0.0046574185,0.04236214,0.013773507939082072
HWM,0.00046839562,0.01481999,0.42359767891682787,0.0023195557,0.020833703,0.099893900982471
